Kingdom	Pyhlum	Class	Order	Family	Genus	Species	N2_num	N2_frac	N3_num	N3_frac	N4_num	N4_frac	E1_num	E1_frac	E3_num	E3_frac	E4_num	E4_frac	E5_num	E5_frac
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	unclassified Acidovorax	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	829	0.00016
Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	0	0.00000	0	0.00000	0	0.00000	17	0.00000	0	0.00000	0	0.00000	0	0.00000
Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	0	0.00000	0	0.00000	389	0.00011	0	0.00000	3883	0.00058	0	0.00000	0	0.00000
Bacteria	Terrabacteria group	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Butyrivibrio	86	0.00002	14156	0.00145	453	0.00013	63	0.00001	0	0.00000	0	0.00000	14	0.00000
Bacteria	Proteobacteria	delta/epsilon subdivisions	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	367	0.00009	0	0.00000	934	0.00027	0	0.00000	0	0.00000	0	0.00000	1985	0.00038
Bacteria	Terrabacteria group	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	55	0.00001	0	0.00000	34	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Bacteria	Terrabacteria group	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	0	0.00000	19	0.00000	29	0.00001	0	0.00000	81	0.00001	0	0.00000	0	0.00000
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Devosia	unclassified Devosia	0	0.00000	56	0.00001	23	0.00001	0	0.00000	76	0.00001	0	0.00000	0	0.00000
Bacteria	Terrabacteria group	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruthenibacterium	63	0.00002	0	0.00000	79	0.00002	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Aminobacter	unclassified Aminobacter	0	0.00000	21	0.00000	0	0.00000	0	0.00000	33	0.00000	0	0.00000	0	0.00000
Bacteria	Proteobacteria	delta/epsilon subdivisions	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	0	0.00000	0	0.00000	11	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Bacteria	Calditrichaeota	Calditrichae	Calditrichales	Calditrichaceae	Caldithrix	Caldithrix abyssi	0	0.00000	0	0.00000	55	0.00002	0	0.00000	0	0.00000	0	0.00000	27	0.00001
Bacteria	PVC group	Planctomycetes	Planctomycetia	Gemmatales	Gemmataceae	Tuwongella	0	0.00000	0	0.00000	129	0.00004	0	0.00000	0	0.00000	0	0.00000	23	0.00000
Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Pseudoalteromonas	Pseudoalteromonas ruthenica	0	0.00000	0	0.00000	38	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter spanius	0	0.00000	11	0.00000	0	0.00000	0	0.00000	187	0.00003	0	0.00000	0	0.00000
Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Halomonas	Halomonas subglaciescola	1032	0.00025	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	0	0.00000	0	0.00000	12	0.00000	0	0.00000	0	0.00000	0	0.00000	51	0.00001
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Pannonibacter	Pannonibacter phragmitetus	0	0.00000	64	0.00001	54	0.00002	386	0.00008	0	0.00000	0	0.00000	0	0.00000
Varidnaviria	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Algavirales	Phycodnaviridae	Chlorovirus	0	0.00000	0	0.00000	75	0.00002	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Anaplasmataceae	Wolbachieae	Wolbachia	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	120	0.00002
Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Pseudoalteromonas	Pseudoalteromonas ulvae	0	0.00000	0	0.00000	28	0.00001	0	0.00000	12	0.00000	0	0.00000	0	0.00000
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Polynucleobacter	Polynucleobacter paneuropaeus	0	0.00000	0	0.00000	0	0.00000	0	0.00000	14	0.00000	0	0.00000	0	0.00000
unclassified viruses	unclassified DNA viruses	unclassified ssDNA viruses	Odonata-associated circular virus-15	N/A	N/A	N/A	0	0.00000	0	0.00000	0	0.00000	0	0.00000	35198	0.00526	0	0.00000	0	0.00000
unclassified viruses	unclassified DNA viruses	unclassified dsDNA viruses	Pandoravirus	Pandoravirus quercus	N/A	N/A	121	0.00003	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Bacteria	Terrabacteria group	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	13799	0.00334	52689	0.00541	28889	0.00831	1297	0.00026	9053	0.00135	686	0.00419	30201	0.00575
Bacteria	Terrabacteria group	Tenericutes	Mollicutes	Acholeplasmatales	Acholeplasmataceae	Acholeplasma	33	0.00001	0	0.00000	33	0.00001	0	0.00000	0	0.00000	0	0.00000	90	0.00002
Bacteria	Terrabacteria group	Actinobacteria	Actinomycetia	Micromonosporales	Micromonosporaceae	Micromonospora	0	0.00000	0	0.00000	356	0.00010	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Alteromonas	unclassified Alteromonas	0	0.00000	0	0.00000	45	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Bacteria	Terrabacteria group	Actinobacteria	Actinomycetia	Micrococcales	Micrococcaceae	Renibacterium	0	0.00000	0	0.00000	0	0.00000	75	0.00002	0	0.00000	0	0.00000	0	0.00000
Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter oleivorans	36	0.00001	0	0.00000	10	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas xanthus	12	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	Pahexavirus	75	0.00002	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Bacteria	Terrabacteria group	Actinobacteria	Actinomycetia	Micrococcales	Microbacteriaceae	Rathayibacter	96	0.00002	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Bacteria	Terrabacteria group	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	91	0.00002	0	0.00000	196	0.00006	0	0.00000	0	0.00000	0	0.00000	521	0.00010
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Pantoea	unclassified Pantoea	125	0.00003	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Bacteria	Spirochaetes	Spirochaetia	Leptospirales	Leptospiraceae	Leptospira	Leptospira biflexa	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bartonellaceae	Bartonella	Bartonella quintana	46	0.00001	0	0.00000	104	0.00003	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Cytophagia	Cytophagales	Hymenobacteraceae	0	0.00000	0	0.00000	23	0.00001	16	0.00000	0	0.00000	0	0.00000	0	0.00000
